Revisión del Padrón municipal 2010. Datos por municipios. ,,,,,,,,,,,,,,,,,,
  48.- Vizcaya,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Población por sexo, municipios y edad (grupos quinquenales).",,,,,,,,,,,,,,,,,,
Unidades:personas,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,0-4,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 y más
Ambos sexos,,,,,,,,,,,,,,,,,,
   48001-Abadiño,447,364,248,295,364,525,721,697,575,515,554,509,457,357,224,206,148,104
   48002-Abanto y Ciérvana-Abanto Zierbena,465,507,407,408,473,588,760,918,913,878,789,612,491,331,296,363,285,240
   48003-Amorebieta-Etxano,920,862,734,750,907,1158,1598,1587,1545,1418,1241,1084,1095,820,697,684,517,352
   48004-Amoroto,13,27,26,10,20,26,26,28,32,40,41,18,25,11,20,19,16,16
   48005-Arakaldo,8,6,6,2,0,2,9,16,17,12,2,2,3,3,10,5,4,5
   48006-Arantzazu,11,21,8,7,14,25,34,24,26,24,27,24,16,15,11,17,11,10
   48007-Munitibar-Arbatzegi Gerrikaitz,11,21,18,15,13,18,30,29,36,49,35,32,16,13,17,23,23,16
   48008-Artzentales,23,34,28,40,33,24,56,47,52,68,69,49,46,36,32,44,26,22
   48009-Arrankudiaga,64,40,38,33,24,38,72,89,86,83,71,63,47,37,34,45,34,22
   48010-Arrieta,27,25,32,17,13,17,39,42,62,56,46,39,21,17,25,31,20,29
   48011-Arrigorriaga,728,623,614,581,581,741,971,1164,1168,1197,988,755,508,434,340,431,320,214
   48012-Bakio,156,115,87,62,109,155,252,247,232,190,175,162,145,108,88,96,50,41
   48013-Barakaldo,4411,3653,3081,3382,4641,6757,9419,8367,7586,7402,7325,6566,5949,4825,4505,5138,3776,2538
   48014-Barrika,84,73,65,50,60,81,129,159,108,129,113,83,102,62,47,44,40,58
   48015-Basauri,1615,1745,1435,1414,1877,2676,3283,3328,3522,3262,3003,2792,2862,2609,2300,2313,1425,991
   48016-Berango,476,436,276,234,333,414,607,751,573,527,486,422,386,264,209,156,122,76
   48017-Bermeo,783,804,636,662,815,1104,1361,1374,1371,1295,1198,1071,1062,884,740,788,611,467
   48018-Berriatua,86,51,31,39,62,120,132,135,92,76,77,77,92,45,51,56,32,30
   48019-Berriz,334,240,176,172,230,317,459,502,403,348,324,278,279,205,189,177,148,101
   48020-Bilbao,14940,14116,13081,13745,16822,22322,27019,27859,28206,28922,26365,21608,20805,18191,16648,18472,13386,10680
   48021-Busturia,78,78,54,41,64,104,143,164,145,115,121,141,123,93,81,79,69,69
   48022-Karrantza Harana/Valle de Carranza,79,98,77,102,147,165,178,171,230,230,224,196,201,163,141,146,133,105
   48023-Artea,41,37,32,24,30,41,63,74,68,53,61,56,48,29,20,32,21,30
   48024-Zeanuri,66,61,51,40,48,81,87,118,120,97,110,84,76,47,45,60,50,61
   48025-Zeberio,50,50,41,43,30,52,75,85,110,97,72,64,49,41,50,59,46,46
   48026-Dima,66,64,65,48,43,68,104,111,113,132,98,84,58,40,54,55,61,49
   48027-Durango,1537,1518,1276,1182,1475,1803,2305,2418,2570,2368,2092,1598,1443,1229,1021,1036,798,592
   48028-Ea,31,30,25,29,37,45,52,71,58,82,86,73,58,45,58,44,40,33
   48029-Etxebarri,709,539,320,317,424,731,1194,1193,895,673,543,489,554,351,268,242,136,89
   48030-Etxebarria,43,27,46,40,41,60,64,43,60,68,65,66,37,45,34,37,32,13
   48031-Elantxobe,13,8,9,9,22,30,26,33,27,27,42,33,37,24,24,30,19,26
   48032-Elorrio,355,354,291,277,368,423,506,552,609,573,576,450,437,385,333,335,238,190
   48033-Ereño,7,10,6,4,14,11,20,16,21,16,18,26,19,17,13,11,10,19
   48034-Ermua,657,740,623,631,801,1097,1263,1344,1360,1158,1241,1094,1125,1040,801,636,355,230
   48035-Fruiz,34,25,17,10,12,19,44,49,39,39,23,30,24,15,15,30,16,9
   48036-Galdakao,1209,1263,1267,1333,1567,1922,2270,2200,2291,2615,2575,2105,1861,1295,1085,1109,741,546
   48037-Galdames,31,32,18,21,38,38,57,72,75,88,62,57,69,41,40,31,40,28
   48038-Gamiz-Fika,41,58,77,64,69,52,67,80,124,133,154,85,84,52,43,62,51,31
   48039-Garai,16,22,13,8,8,23,23,32,38,26,25,19,16,12,15,9,10,8
   48040-Gatika,99,92,70,44,68,87,137,162,132,110,127,106,101,61,46,59,41,28
   48041-Gautegiz Arteaga,27,34,47,34,39,47,61,64,74,90,70,65,57,32,38,43,29,18
   48042-Gordexola,78,81,72,48,74,95,105,176,166,161,118,92,92,82,68,93,75,64
   48043-Gorliz,323,310,269,217,244,292,429,543,517,490,450,328,283,231,204,176,109,88
   48044-Getxo,3280,3454,3541,3710,4486,5451,5902,5555,5675,6119,6476,6186,5806,4371,3146,2989,2145,1985
   48045-Güeñes,373,306,246,244,283,391,582,618,554,518,445,348,361,248,291,315,209,141
   48046-Gernika-Lumo,817,701,681,694,805,1062,1298,1230,1260,1263,1103,1006,1004,852,711,792,578,438
   48047-Gizaburuaga,9,14,7,8,14,9,14,22,18,20,6,15,8,4,10,12,6,5
   48048-Ibarrangelu,20,24,18,15,20,32,40,46,68,66,47,36,22,26,36,37,36,25
   48049-Ispaster,41,27,17,16,25,32,47,53,60,58,51,45,40,33,26,30,35,32
   48050-Izurtza,9,10,10,16,15,17,24,19,18,25,23,21,14,10,10,10,7,12
   48051-Lanestosa,5,9,8,9,14,20,14,10,17,31,24,23,15,11,19,16,18,9
   48052-Larrabetzu,125,117,73,64,89,93,201,157,173,130,146,105,98,68,52,90,77,59
   48053-Laukiz,59,66,63,48,38,60,78,100,97,97,81,75,55,61,46,43,25,17
   48054-Leioa,1592,1568,1414,1254,1530,2060,2855,2576,2475,2471,2266,2180,2020,1324,858,781,585,453
   48055-Lemoa,185,141,116,102,136,251,380,323,247,233,208,163,148,114,131,145,127,76
   48056-Lemoiz,57,57,41,34,35,44,88,95,86,92,101,41,49,48,42,45,39,29
   48057-Lekeitio,350,361,281,274,323,411,495,588,584,638,548,457,433,415,362,425,283,210
   48058-Mallabia,63,40,45,53,38,65,109,117,111,97,66,92,74,68,44,52,29,19
   48059-Mañaria,25,19,15,23,25,37,48,39,42,35,49,39,30,25,19,15,18,16
   48060-Markina-Xemein,259,210,170,189,270,385,412,382,382,382,373,341,256,224,211,198,158,148
   48061-Maruri-Jatabe,47,48,36,37,35,38,59,83,74,92,75,67,48,40,37,39,26,15
   48062-Mendata,24,25,9,10,14,20,32,33,30,28,31,26,29,25,11,17,14,12
   48063-Mendexa,24,19,18,16,18,19,16,38,44,52,26,32,31,19,14,13,19,13
   48064-Meñaka,45,31,17,23,25,27,50,78,62,59,39,58,50,27,34,30,28,19
   48065-Ugao-Miraballes,184,171,166,156,213,256,368,332,321,327,308,271,242,199,153,166,129,88
   48066-Morga,13,16,8,13,20,21,28,38,35,42,36,24,30,21,20,15,17,22
   48067-Muxika,77,64,46,49,49,69,123,133,124,121,112,68,93,70,69,90,65,44
   48068-Mundaka,82,67,71,73,72,118,148,147,141,147,171,141,133,106,91,88,65,77
   48069-Mungia,1003,945,815,769,823,1080,1522,1518,1422,1372,1214,927,888,614,504,496,334,281
   48070-Aulesti,29,34,33,16,22,45,34,48,65,50,59,34,24,42,46,45,33,21
   48071-Muskiz,391,316,257,313,368,485,731,677,628,621,566,386,384,301,246,262,236,163
   48072-Otxandio,68,52,46,46,51,80,141,124,82,92,82,81,70,49,64,69,49,23
   48073-Ondarroa,302,358,345,389,441,522,568,682,727,747,689,571,539,558,436,469,290,223
   48074-Urduña/Orduña,191,190,154,151,211,281,419,340,341,363,309,273,215,190,173,179,147,131
   48075-Orozko,133,151,128,70,63,114,180,229,258,216,144,124,133,98,101,111,96,56
   48076-Sukarrieta,12,14,9,12,7,17,23,16,34,28,19,36,33,26,9,27,15,15
   48077-Plentzia,223,232,194,204,214,225,313,368,371,409,363,258,252,171,129,146,114,106
   48078-Portugalete,1830,1748,1695,1686,2250,2932,3590,3662,3691,3738,3645,3156,3313,2930,2504,2552,1720,1214
   48079-Errigoiti,27,13,15,16,8,24,48,44,37,50,49,28,42,21,28,35,26,18
   48080-Valle de Trápaga-Trapagaran,565,541,481,448,530,762,1006,1078,1010,1041,897,821,786,668,512,544,362,265
   48081-Lezama,135,132,126,107,128,139,211,220,202,210,206,161,132,95,87,96,69,45
   48082-Santurtzi,2093,1971,1707,1790,2178,3004,3926,4029,3837,3749,3577,2951,2870,2444,2191,2242,1532,1010
   48083-Ortuella,346,359,336,332,407,566,675,718,681,670,657,594,525,396,289,379,297,208
   48084-Sestao,1193,1082,1059,1054,1307,1771,2407,2414,2344,2262,2023,1756,1910,1741,1439,1491,1144,827
   48085-Sopelana,782,663,566,529,617,871,1228,1232,1151,1062,987,815,664,434,275,258,226,167
   48086-Sopuerta,119,88,82,82,113,154,236,206,199,218,196,163,162,115,100,119,112,88
   48087-Trucios-Turtzioz,14,18,11,21,28,46,43,28,48,43,46,36,40,22,26,34,20,18
   48088-Ubide,5,3,5,4,13,8,14,15,20,17,12,8,8,4,5,11,11,4
   48089-Urduliz,190,158,148,148,129,213,321,332,313,291,237,213,196,168,112,117,76,60
   48090-Balmaseda,342,304,240,298,359,491,590,637,560,568,517,434,437,375,325,396,266,227
   48091-Atxondo,70,58,52,67,100,107,101,116,89,112,118,119,104,62,48,43,31,36
   48092-Bedia,46,52,33,45,38,48,76,69,93,89,70,52,54,42,57,47,32,23
   48093-Areatza,65,68,54,39,63,68,98,80,101,85,92,58,58,50,34,49,52,28
   48094-Igorre,221,176,137,209,260,292,409,363,325,306,340,304,239,191,141,141,102,83
   48095-Zaldibar,148,128,115,100,141,227,301,268,221,235,231,201,195,172,103,116,81,58
   48096-Zalla,410,326,301,318,454,609,666,661,627,698,687,578,477,346,277,296,261,184
   48097-Zaratamo,71,90,75,78,70,90,157,155,153,145,130,98,91,64,87,76,48,31
   48901-Derio,304,276,192,183,213,311,476,555,483,400,355,239,346,312,271,201,131,124
   48902-Erandio,1303,1053,834,886,1158,1655,2349,2405,2046,1703,1554,1517,1534,1277,954,952,618,496
   48903-Loiu,108,126,97,195,106,123,200,219,194,190,191,127,122,94,96,106,112,115
   48904-Sondika,252,240,214,162,193,220,295,391,407,411,318,225,211,195,211,256,185,129
   48905-Zamudio,199,143,78,107,145,193,275,359,245,216,223,225,192,152,153,140,107,80
   48906-Forua,46,41,41,38,52,64,77,86,67,73,95,71,65,43,39,54,32,28
   48907-Kortezubi,21,18,17,11,21,21,45,30,41,41,27,13,25,21,12,18,20,17
   48908-Murueta,14,16,18,13,17,14,19,20,44,30,29,16,12,10,11,9,8,8
   48909-Nabarniz,9,13,8,8,7,7,13,23,24,16,19,19,19,11,7,11,6,14
   48910-Iurreta,161,153,123,131,181,301,346,317,304,265,255,244,249,216,190,189,110,77
   48911-Ajangiz,24,23,14,17,18,34,30,21,38,46,52,23,20,22,12,24,14,18
   48912-Alonsotegi,150,104,87,106,90,171,295,250,225,219,184,170,214,132,119,128,97,87
   48913-Zierbena,42,51,52,40,78,115,127,113,133,121,109,83,70,76,65,43,46,34
   48914-Arratzu,15,11,13,6,18,28,24,28,29,27,35,29,27,13,18,17,24,17
   48915-Ziortza-Bolibar,24,7,12,17,15,12,43,30,27,39,23,40,20,27,14,18,23,17
,,,,,,,,,,,,,,,,,,
Fuente:Instituto Nacional de Estadística,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Paseo de la Castellana, 183 - 28071 - Madrid - España Teléfono: (+34) 91 583 91 00 - Contacta:",,,,,,,,,,,,,,,,,,
