Revisión del Padrón municipal 2011. Datos por municipios. ,,,,,,,,,,,,,,,,,,,,,
  48.- Bizkaia,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Población por sexo, municipios y edad (grupos quinquenales).",,,,,,,,,,,,,,,,,,,,,
Unidades:personas,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100 y más
Ambos sexos,,,,,,,,,,,,,,,,,,,,,
   48001-Abadiño,450,381,257,268,344,515,674,726,589,501,569,514,453,380,235,201,146,68,34,6,1
   48002-Abanto y Ciérvana-Abanto Zierbena,454,498,430,390,486,548,731,873,935,903,820,610,519,350,284,352,282,179,55,11,3
   48003-Amorebieta-Etxano,950,911,785,740,855,1095,1580,1604,1556,1474,1283,1090,1076,870,678,691,524,282,80,13,3
   48004-Amoroto,15,26,23,11,22,22,23,29,32,37,47,22,25,11,17,19,18,7,6,1,0
   48005-Arakaldo,11,8,7,4,0,3,12,14,22,10,6,2,3,4,9,4,3,3,1,1,1
   48006-Arantzazu,17,18,17,8,16,20,36,31,23,27,29,28,19,12,13,19,11,6,4,0,0
   48007-Munitibar-Arbatzegi Gerrikaitz,13,14,22,14,19,12,37,25,35,48,39,29,24,13,16,20,25,20,2,0,0
   48008-Artzentales,26,32,28,54,31,29,48,47,51,63,78,47,51,31,32,42,29,17,5,1,0
   48009-Arrankudiaga,64,38,40,37,29,36,64,87,93,79,84,59,49,38,35,45,31,13,10,2,0
   48010-Arrieta,22,30,28,19,13,16,31,48,51,56,56,39,25,14,21,28,19,17,7,2,0
   48011-Arrigorriaga,701,694,615,593,587,693,934,1163,1126,1229,1032,805,529,438,356,412,364,185,53,2,0
   48012-Bakio,158,127,92,65,106,141,253,271,229,205,193,165,149,105,93,97,50,29,11,3,0
   48013-Barakaldo,4719,3783,3206,3338,4380,6433,9172,8822,7641,7432,7389,6687,6082,4901,4388,5007,3890,2029,611,136,15
   48014-Barrika,89,75,69,54,55,80,125,159,126,128,107,94,106,61,44,44,43,30,23,3,1
   48015-Basauri,1608,1764,1477,1376,1813,2457,3165,3235,3457,3335,3052,2764,2808,2622,2296,2330,1558,776,215,53,5
   48016-Berango,462,461,311,229,323,385,562,747,593,554,483,427,403,284,217,168,119,65,11,7,1
   48017-Bermeo,779,827,665,638,761,1093,1332,1392,1349,1318,1259,1063,1064,916,725,791,600,366,110,28,2
   48018-Berriatua,87,51,37,38,50,95,130,135,102,63,88,70,90,54,45,59,34,16,9,4,0
   48019-Berriz,313,275,168,170,241,292,428,499,416,348,326,295,261,208,205,175,146,71,28,6,0
   48020-Bilbao,14799,14327,13417,13618,16241,21351,26305,27890,27897,29038,27071,22071,20451,18599,16190,18286,13847,7660,2753,789,100
   48021-Busturia,91,74,60,38,63,95,142,170,137,120,110,144,127,93,84,84,74,51,16,3,0
   48022-Karrantza Harana/Valle de Carranza,75,95,84,94,149,163,170,187,226,222,239,184,206,168,141,146,127,91,21,6,0
   48023-Artea,52,35,36,33,27,44,63,74,70,51,64,56,53,30,18,23,25,20,6,3,0
   48024-Zeanuri,71,59,56,31,44,70,96,114,120,101,101,96,78,55,39,59,48,39,18,1,1
   48025-Zeberio,51,47,46,43,35,40,74,88,108,94,79,64,47,44,44,57,46,35,18,1,2
   48026-Dima,63,79,69,51,45,55,112,112,112,134,116,74,72,46,51,53,61,35,13,3,0
   48027-Durango,1497,1511,1341,1209,1389,1712,2222,2411,2540,2414,2179,1599,1480,1229,993,1060,830,425,149,30,6
   48028-Ea,30,27,29,21,44,36,52,73,62,77,87,78,60,45,50,54,30,27,12,2,0
   48029-Etxebarri,776,584,372,312,405,709,1233,1268,960,722,557,503,554,401,286,234,159,67,24,5,2
   48030-Etxebarria,39,29,41,43,38,47,71,43,54,63,75,58,44,45,34,35,27,19,3,0,0
   48031-Elantxobe,10,9,9,8,21,27,26,27,26,28,38,36,32,33,20,28,20,17,6,1,1
   48032-Elorrio,342,347,300,296,332,428,513,508,610,578,591,467,438,380,330,339,237,143,56,12,2
   48033-Ereño,10,9,5,8,10,14,18,15,22,16,23,17,24,19,12,12,9,14,5,1,0
   48034-Ermua,666,728,657,623,752,1036,1251,1342,1401,1164,1234,1090,1120,1028,852,692,394,174,48,17,5
   48035-Fruiz,34,33,17,13,12,16,41,54,46,37,25,30,23,18,17,25,18,7,3,0,0
   48036-Galdakao,1174,1266,1260,1303,1461,1823,2199,2206,2205,2608,2616,2135,1899,1362,1074,1069,823,402,121,39,4
   48037-Galdames,41,31,19,21,36,36,56,64,84,79,68,57,71,43,40,27,42,23,10,1,0
   48038-Gamiz-Fika,41,57,83,59,65,57,65,81,112,145,147,94,82,53,39,65,48,23,12,2,1
   48039-Garai,22,21,15,9,8,22,19,34,40,31,28,19,20,13,14,9,10,3,2,0,0
   48040-Gatika,108,89,74,46,61,86,117,165,139,111,136,98,103,71,48,59,41,21,8,3,0
   48041-Gautegiz Arteaga,27,39,45,35,36,48,66,67,68,91,71,68,55,36,37,39,30,17,3,1,0
   48042-Gordexola,85,88,70,50,77,90,100,157,185,163,126,86,96,91,65,91,67,45,19,4,1
   48043-Gorliz,313,318,271,232,228,279,418,512,528,489,473,336,302,244,185,183,122,59,20,3,0
   48044-Getxo,3291,3445,3538,3729,4288,5118,5774,5586,5587,6038,6497,6090,5959,4632,3170,3061,2181,1449,492,153,11
   48045-Güeñes,357,317,256,220,253,376,529,620,551,529,445,360,347,270,260,334,215,113,35,10,3
   48046-Gernika-Lumo,825,746,683,681,795,1053,1265,1294,1264,1251,1151,987,998,882,703,793,585,343,110,31,2
   48047-Gizaburuaga,11,13,9,7,11,10,17,20,20,16,11,13,10,4,6,12,10,3,2,0,0
   48048-Ibarrangelu,26,22,17,19,17,31,42,48,59,75,47,46,28,21,41,36,36,17,7,1,0
   48049-Ispaster,41,30,18,15,24,33,51,58,63,53,54,49,44,31,19,32,35,17,9,2,1
   48050-Izurtza,8,8,3,27,17,22,26,15,17,25,24,23,15,6,9,11,8,6,5,1,0
   48051-Lanestosa,6,7,9,10,10,17,11,14,16,25,28,23,18,10,18,16,14,10,2,0,1
   48052-Larrabetzu,127,122,80,60,78,101,169,181,178,131,144,113,95,73,55,85,68,48,19,4,0
   48053-Laukiz,57,74,62,50,42,54,79,102,94,95,90,81,63,55,51,42,29,16,1,1,0
   48054-Leioa,1574,1634,1462,1262,1505,1873,2745,2691,2489,2429,2333,2135,2107,1410,928,783,595,333,126,35,5
   48055-Lemoa,206,162,112,105,133,243,379,387,274,215,226,154,157,120,117,142,129,61,19,5,0
   48056-Lemoiz,56,62,47,31,43,41,84,99,85,91,101,50,54,50,40,41,39,23,3,2,0
   48057-Lekeitio,340,374,291,275,312,384,491,540,608,627,578,464,426,430,344,414,292,147,62,9,1
   48058-Mallabia,63,50,38,50,43,59,106,120,103,106,68,85,79,74,42,49,31,17,3,2,0
   48059-Mañaria,26,17,12,23,23,35,49,44,36,40,45,42,28,30,19,11,19,10,4,0,0
   48060-Markina-Xemein,265,222,181,193,247,340,427,394,358,389,393,346,271,220,201,203,168,104,36,8,1
   48061-Maruri-Jatabe,48,56,36,31,42,31,59,84,81,89,82,61,49,47,32,40,31,12,4,1,0
