CÓDIGO,MUNICIPIO,ORGÁNICO,# Cont.,PAPEL,# Cont.,VIDRIO,# Cont.,VOLUMINOSO,ENVASES,# Cont.,,TOTAL,HABITANTES
1,ABADIÑO,2180031,147,385282,79,179456,42,34988,106761,51,,2886518,7312
2,ABANTO-ZIERBENA,3092620,315,216076,60,135303,49,76018,114789,61,,3634806,9713
911,AJANGIZ,156610,30,10553,4,12129,2,1737,4017,5,,185046,458
912,ALONSOTEGI,791560,41,97170,28,71409,17,10220,40971,21,,1011330,2820
3,AMOREBIETA-ETXANO,6290430,249,525160,84,399659,76,113060,275911,89,,7604220,18140
4,AMOROTO,143088,37,8296,3,21658,4,1765,4132,5,,178939,413
5,ARAKALDO,38640,15,7860,3,3987,3,1159,3800,2,,55446,128
6,ARANTZAZU,103623,16,14860,7,9403,3,2383,7740,7,,138009,354
8,ARTZENTALES,260178,60,15369,6,18929,10,2842,7306,10,,304624,742
93,AREATZA,364116,27,52216,13,30851,6,8372,18956,11,,474512,1179
9,ARRANKUDIAGA,368840,30,40000,11,30842,14,11065,25104,17,,475851,933
914,ARRATZU,110380,25,10425,14,19087,10,2406,10209,14,,152507,389
10,ARRIETA,201185,24,13712,7,12209,4,1836,12194,12,,241137,542
11,ARRIGORRIAGA,3630480,198,431370,37,196089,36,89260,166355,49,,4513554,12511
23,ARTEA,241877,39,34750,12,17479,4,5572,16373,13,,316050,783
91,ATXONDO,432885,61,75527,23,56992,14,6858,20606,16,,592869,1429
70,AULESTI,249679,57,15217,4,17033,6,2752,5534,4,,290215,681
12,BAKIO,1271000,90,161612,35,137753,33,16560,55959,41,,1642884,2542
90,BALMASEDA,2251629,86,169810,37,129937,24,37524,75110,33,,2664010,7583
13,BARAKALDO,29653350,650,1630640,250,1826824,311,279170,815930,217,,34205914,100061
14,BARRIKA,725910,60,51358,13,74470,24,21777,20337,15,,893852,1516
15,BASAURI,11939741,336,1375428,157,694372,131,271580,495311,133,,14776432,42166
92,BEDIA,308000,35,44169,17,18298,7,7082,16022,13,,393571,970
16,BERANGO,2377180,158,233064,40,175951,54,33140,83989,49,,2903324,6812
17,BERMEO,5156135,122,573540,54,495907,69,103155,258622,82,,6587359,17078
18,BERRIATUA,371455,27,41670,8,32927,8,3626,19435,13,,469112,1257
19,BERRIZ,1431740,60,221130,25,113847,21,23980,88168,23,,1878865,4871
20,BILBAO,100729410,2899,11607460,1086,6755447,897,655100,4529820,1445,,124277237,352700
21,BUSTURIA,589646,116,47616,18,47080,10,11770,22272,18,,718384,1776
901,DERIO,2538993,82,314607,50,140824,40,61648,100091,64,,3156163,5458
26,DIMA,418638,90,60035,51,51933,12,9626,32976,22,,573208,1356
27,DURANGO,7385782,257,1023430,88,631441,118,143460,389308,128,,9573421,28226
28,EA,345240,136,22430,9,36273,3,8424,10106,11,,422472,896
31,ELANTXOBE,168963,40,6900,3,13247,2,4123,2079,3,,195312,423
32,ELORRIO,2190709,132,382226,67,206297,38,34710,132415,55,,2946357,7249
902,ERANDIO,8780120,461,387970,78,396556,77,198320,305268,112,,10068234,24262
33,EREÑO,94528,24,6470,4,18471,4,1955,3314,4,,124738,263
34,ERMUA,5096725,123,371821,42,320403,43,115245,95298,41,,5999492,16274
79,ERRIGOITI,148470,42,39620,4,10986,4,4454,2900,3,,206430,557
29,"ETXEBARRI,ANTEIGLESIA",2826640,121,301800,61,115610,42,65510,142063,52,,3451623,10133
30,ETXEBARRIA,250252,35,23065,9,24998,10,1229,12757,10,,312301,808
906,FORUA,339521,32,21470,10,30793,7,7107,11207,9,,410097,979
35,FRUIZ,149699,25,14814,7,6533,4,1481,9722,9,,182248,469
36,GALDAKAO,8977790,564,854384,97,603561,90,244780,286242,95,,10966757,29049
37,GALDAMES,299080,70,21954,13,30042,14,3184,14105,14,,368365,849
38,GAMIZ-FIKA,489816,86,25551,7,23093,3,4367,12804,11,,555631,1331
39,GARAY,97572,16,17023,4,2532,2,1546,4948,3,,123621,339
40,GATIKA,545650,39,25570,13,24772,8,5167,28207,17,,629366,1584
41,GAUTEGIZ DE ARTEAGA,334463,110,118192,7,19428,4,8161,7041,8,,487284,879
46,GERNIKA-LUMO,5198470,182,633160,70,477198,79,109320,202427,76,,6620575,16442
44,GETXO,24558960,602,2708100,207,1567290,204,366120,967702,242,,30168172,80089
47,GIZABURUAGA,91863,52,4380,3,9470,3,957,3156,2,,109827,205
42,GORDEXOLA,621002,74,55290,21,47077,16,3149,27392,26,,753910,1756
43,GORLIZ,2257860,128,190064,40,150312,29,53540,99573,52,,2751349,5515
45,GÜEÑES,2310198,129,137030,44,99863,35,13557,68239,44,,2628887,6400
48,IBARRANGELU,257821,69,14080,4,41891,9,7948,8820,7,,330560,636
94,IGORRE,1351566,90,193823,51,104068,28,31077,85966,44,,1766499,4273
49,ISPASTER,212349,55,14875,7,26065,6,2888,7570,7,,263747,679
910,IURRETA,1151542,132,200917,66,88988,25,18245,55248,24,,1514940,3867
50,IZURTZA,81563,29,14231,7,10531,3,1292,2285,2,,109902,276
22,KARRANTZA HARANA,994317,271,38171,21,51822,18,4877,23388,26,,1112575,2794
907,KORTEZUBI,122029,20,11033,10,15267,4,2840,4449,5,,155617,430
51,LANESTOSA,97076,23,5599,4,7468,2,1060,3315,4,,114518,265
52,LARRABETZU,891939,61,110879,13,70048,7,21741,29741,19,,1124348,1931
53,LAUKIZ,384295,162,21252,13,24725,7,3650,10593,6,,444515,1138
54,LEIOA,8211200,235,998180,146,598023,137,128880,460836,175,,10397119,30454
57,LEKEITIO,2330196,59,400525,28,358220,34,24484,178252,42,,3291677,7409
55,LEMOA,1028580,91,147505,47,66823,19,23650,58918,35,,1325476,3346
56,LEMOIZ,449710,46,35333,14,46633,21,15540,21101,21,,568317,1042
81,LEZAMA,1166726,52,144932,21,60269,11,28422,29745,16,,1430094,2517
903,LOIU,1119895,84,140490,28,88328,25,27623,40069,30,,1416405,2491
58,MALLABIA,363982,53,21667,9,36348,10,8392,4563,9,,434952,1188
59,MAÑARIA,156780,37,27355,3,10657,5,2484,5997,5,,203273,513
60,MARKINA-XEMEIN,1382542,87,192750,21,128718,21,10918,77477,26,,1792406,4967
61,MARURI-JATABE,317965,30,28347,15,29487,9,2949,17643,12,,396391,916
62,MENDATA,161351,29,8285,13,14898,4,4076,28405,16,,217015,381
63,MENDEXA,180740,60,7660,4,27068,5,1822,5525,6,,222815,438
64,MEÑAKA,243883,21,12283,15,34136,4,2310,6316,5,,298929,726
66,MORGA,162540,31,7050,5,20557,5,4876,4199,4,,199222,411
68,MUNDAKA,859536,67,47380,8,73196,7,26210,25807,9,,1032129,1939
69,MUNGIA,5031780,293,470816,71,355490,93,44560,325479,94,,6228125,16737
7,MUNITIBAR-ARBATZEGI,145752,43,9060,3,19348,3,1769,3977,3,,179905,427
908,MURUETA,112847,46,3000,3,13631,5,3119,4729,4,,137327,308
71,MUSKIZ,2857000,187,160384,50,125816,43,78520,71955,47,,3293675,7408
67,MUXIKA,349696,48,34335,35,34383,13,5118,23366,32,,446898,1477
909,NABARNIZ,85735,34,4490,6,8921,4,1773,4832,6,,105751,236
73,ONDARROA,2472583,61,324405,27,290552,29,25463,126084,28,,3239087,8852
74,ORDUÑA,1292260,27,86450,13,114400,23,11744,53094,32,,1557948,4259
75,OROZKO,1122360,66,71940,21,72403,21,12987,53012,19,,1332702,2451
83,ORTUELLA,2526460,140,146787,27,149717,27,27335,111793,42,,2962092,8412
72,OTXANDIO,366151,43,41720,20,65181,10,9019,27619,23,,509690,1277
77,PLENTZIA,1390560,116,148238,26,137726,25,41717,56964,24,,1775205,4311
78,PORTUGALETE,12465560,205,1133140,121,960772,115,250165,374645,89,,15184282,47742
82,SANTURTZI,12624960,272,1287070,97,748190,102,224978,511621,94,,15396819,47076
84,SESTAO,7526000,208,678130,78,456417,61,293240,259757,82,,9213544,28959
904,SONDIKA,2104345,96,261476,39,111746,34,51272,59148,33,,2587987,4533
85,SOPELANA,4097820,334,432660,64,229730,64,39540,177688,87,,4977438,12693
86,SOPUERTA,910803,145,55895,17,44507,13,7835,27925,27,,1046965,2588
76,SUKARRIETA,142807,29,12330,4,29716,8,3306,4911,4,,193069,354
87,TRUCIOS-TURTZIOZ,193438,37,8155,7,12459,9,1505,6073,9,,221631,537
88,UBIDE,53246,18,7636,3,11498,3,1224,3594,3,,77199,184
65,UGAO-MIRABALLES,1135500,38,178336,10,113938,18,41750,65308,19,,1534832,4059
89,URDULIZ,1168400,123,118190,21,78712,28,10920,47177,23,,1423399,3571
80,VALLE DE TRÁPAGA,4150520,194,273230,37,237902,39,72240,167930,54,,4901822,12224
95,ZALDIBAR,918636,55,160280,31,69281,17,30171,49682,23,,1228050,3038
96,ZALLA,2917995,151,181082,61,194783,29,14911,107945,67,,3416715,8258
905,ZAMUDIO,1547644,57,191283,24,76832,27,37455,63285,41,,1916500,3248
97,ZARATAMO,632770,81,27850,4,20664,5,5081,18841,9,,705205,1666
24,ZEANURI,343691,96,130972,17,32342,14,9545,19059,15,,535609,1297
25,ZEBERIO,114615,72,31020,11,25962,9,2212,12123,8,,185932,1063
913,ZIERBENA,827990,57,74783,16,65518,16,13450,23999,15,,1005740,1440
915,ZIORTZA-BOLIBAR,110595,12,7100,6,30240,7,814,8723,8,,157472,410
,,,,,,,,,,,,,
,TOTAL,347399064,14940,35475541,4687,23767342,4120,5090889,14361639,5201,,426094473,1155772
